"Depth","Column","Parameter","Process","Coefficient","SRC","R2","adjR2"
7.5,1,"d18O_nitrification","Reduction",-0.196445703842195,-0.190859038020349,0.956600080717486,0.955253186670787
7.5,1,"SP_denitrification","Reduction",0.00372247542235638,0.00624562100544415,0.956600080717486,0.955253186670787
7.5,1,"d18O_denitrification","Reduction",-0.250894966940911,-0.259932842994926,0.956600080717486,0.955253186670787
7.5,1,"eta_SP_reduction","Reduction",0.0244819538428742,0.0123140596670862,0.956600080717486,0.955253186670787
7.5,1,"eta_18O_reduction","Reduction",0.365534207157512,0.691441945411827,0.956600080717486,0.955253186670787
7.5,2,"BD","Nitrification",-10.0914669368716,-0.158752554131039,0.978026268724023,0.977344325339596
7.5,2,"eta_SP_diffusion","Nitrification",0.708571356697584,0.0464169680172766,0.978026268724023,0.977344325339596
7.5,2,"eta_18O_diffusion","Nitrification",-0.0684834939867587,-0.00452211138138718,0.978026268724023,0.977344325339596
7.5,2,"SP_nitrification","Nitrification",-0.134946955334213,-0.0631752017429304,0.978026268724023,0.977344325339596
7.5,2,"d18O_nitrification","Nitrification",0.101902755529995,0.0681605617047997,0.978026268724023,0.977344325339596
7.5,2,"SP_denitrification","Nitrification",-0.44706249670108,-0.518335253541835,0.978026268724023,0.977344325339596
7.5,2,"d18O_denitrification","Nitrification",0.213802480006893,0.163402679498123,0.978026268724023,0.977344325339596
7.5,2,"eta_SP_reduction","Nitrification",1.07930805658596,0.387322560247477,0.978026268724023,0.977344325339596
7.5,2,"eta_18O_reduction","Nitrification",-0.53269586647723,-0.718861773647509,0.978026268724023,0.977344325339596
7.5,2,"BD","Denitrification",0.0813606525829332,0.00170112849895171,0.978529907660128,0.977863594449581
7.5,2,"eta_SP_diffusion","Denitrification",-0.364755821918604,-0.031757893362984,0.978529907660128,0.977863594449581
7.5,2,"eta_18O_diffusion","Denitrification",-0.176874318573929,-0.0155230266254545,0.978529907660128,0.977863594449581
7.5,2,"SP_nitrification","Denitrification",0.109175132771976,0.0679303032161591,0.978529907660128,0.977863594449581
7.5,2,"d18O_nitrification","Denitrification",0.0418818778685456,0.0372331393999514,0.978529907660128,0.977863594449581
7.5,2,"SP_denitrification","Denitrification",0.256433330695582,0.395160256779401,0.978529907660128,0.977863594449581
7.5,2,"d18O_denitrification","Denitrification",0.189493054475783,0.192484608937629,0.978529907660128,0.977863594449581
7.5,2,"eta_SP_reduction","Denitrification",-0.614950628389562,-0.293307995597108,0.978529907660128,0.977863594449581
