"BD","Nitrification","Denitrification","Reduction"
1.536,14.9824009022589,19.3148993552549,20.597217952834
1.586,14.2262295347286,19.3196708073753,22.0582221559684
1.636,13.3744471146502,18.9898877453909,23.1349493465942
1.686,12.4853270053438,19.0555259359519,25.2513610217573
1.736,11.2425299349331,18.5713616360935,26.4406230930941
1.786,10.059018255516,18.3430100463075,28.3344968599347
1.836,8.71455658848462,17.9253846701902,29.9025425469028
