"","X1.gN2ONha","X2.gN2ONha","X3.gN2ONha","X4.gN2ONha","X5.gN2ONha","X6.gN2ONha","X7.gN2ONha","X8.gN2ONha","X9.gN2ONha","X10.gN2ONha","X11.gN2ONha","X12.gN2ONha","X1.SP","X2.SP","X3.SP","X4.SP","X5.SP","X6.SP","X7.SP","X8.SP","X9.SP","X10.SP","X11.SP","X12.SP","X1.d18O","X2.d18O","X3.d18O","X4.d18O","X5.d18O","X6.d18O","X7.d18O","X8.d18O","X9.d18O","X10.d18O","X11.d18O","X12.d18O"
"7.5",630.957344480194,10,3.16227766016838,125.892541179417,1000,1000,1000,5.01187233627272,10,25.1188643150958,31.6227766016838,398.107170553497,100,794.328234724282,31.6227766016838,25.1188643150958,158.489319246111,398.107170553497,15.8489319246111,31.6227766016838,10,12.5892541179417,100,31.6227766016838,316.227766016838,630.957344480194,63.0957344480193,39.8107170553497,19.9526231496888,100,39.8107170553497,501.187233627272,63.0957344480193,501.187233627272,1000,316.227766016838
"30",158.489319246111,100,5.01187233627272,7.94328234724282,1000,6.30957344480193,79.4328234724282,251.188643150958,10,1000,5.01187233627272,3.16227766016838,19.9526231496888,50.1187233627273,15.8489319246111,19.9526231496888,125.892541179417,31.6227766016838,15.8489319246111,31.6227766016838,63.0957344480193,19.9526231496888,158.489319246111,630.957344480194,5.01187233627272,10,10,31.6227766016838,794.328234724282,501.187233627272,12.5892541179417,10,15.8489319246111,199.526231496888,3.16227766016838,19.9526231496888
"60",15.8489319246111,25.1188643150958,19.9526231496888,6.30957344480193,158.489319246111,25.1188643150958,25.1188643150958,12.5892541179417,7.94328234724282,7.94328234724282,6.30957344480193,5.01187233627272,10,199.526231496888,50.1187233627273,501.187233627272,501.187233627272,50.1187233627273,7.94328234724282,6.30957344480193,316.227766016838,15.8489319246111,630.957344480194,501.187233627272,19.9526231496888,25.1188643150958,39.8107170553497,12.5892541179417,39.8107170553497,25.1188643150958,50.1187233627273,251.188643150958,25.1188643150958,12.5892541179417,19.9526231496888,12.5892541179417
"90",19.9526231496888,15.8489319246111,12.5892541179417,3.98107170553497,125.892541179417,31.6227766016838,15.8489319246111,6.30957344480193,7.94328234724282,25.1188643150958,7.94328234724282,10,31.6227766016838,125.892541179417,19.9526231496888,1000,630.957344480194,316.227766016838,398.107170553497,794.328234724282,10,50.1187233627273,7.94328234724282,7.94328234724282,15.8489319246111,25.1188643150958,50.1187233627273,19.9526231496888,31.6227766016838,199.526231496888,199.526231496888,19.9526231496888,3.98107170553497,12.5892541179417,19.9526231496888,12.5892541179417
"120",19.9526231496888,5.01187233627272,6.30957344480193,6.30957344480193,15.8489319246111,6.30957344480193,3.16227766016838,7.94328234724282,7.94328234724282,25.1188643150958,6.30957344480193,5.01187233627272,12.5892541179417,19.9526231496888,39.8107170553497,50.1187233627273,199.526231496888,39.8107170553497,5.01187233627272,630.957344480194,501.187233627272,39.8107170553497,7.94328234724282,15.8489319246111,5.01187233627272,10,15.8489319246111,15.8489319246111,25.1188643150958,316.227766016838,7.94328234724282,39.8107170553497,31.6227766016838,19.9526231496888,19.9526231496888,19.9526231496888
