,day_column_depth,date_R,column,depth,increment,variety,moisture,concNO3N,NO3N_ha,N2O,CO2,mgN2ONm3,mgCO2Cm3,gN2ONha,gCO2Cha,CN,d15Nbulk,d15Nalpha,d15Nbeta,SP,d18O
2846,2015286 C8 7.5,2015286,C8,7.5,15,CH Claro,0.191523958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2847,2015286 C8 90,2015286,C8,90,30,CH Claro,0.310551042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2848,2015286 C9 120,2015286,C9,120,30,Probus,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2849,2015286 C9 30,2015286,C9,30,30,Probus,0.217895833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850,2015286 C9 60,2015286,C9,60,30,Probus,0.240175521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2851,2015286 C9 7.5,2015286,C9,7.5,15,Probus,0.194403646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2852,2015286 C9 90,2015286,C9,90,30,Probus,0.22739375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2853,2015287 C1 120,2015287,C1,120,30,Zinal,0.311965625,74,69.25636875,6.220673849,29898.91133,7.249599091,14933.27795,1.126760817,2320.987995,0.03351299,7.245,13.46,1.03,12.43,47.325
2854,2015287 C1 30,2015287,C1,30,30,Zinal,0.3153,NA,NA,0.443771921,3950.689078,0.517173636,1973.206898,0.075207781,286.9452363,NA,0.8,6.18,-4.59,10.76,42.32
2855,2015287 C1 60,2015287,C1,60,30,Zinal,0.27165,25,20.37375,4.171796947,24684.56712,4.861829456,12328.92722,1.343667476,3407.354921,0.167242404,5.125,8.63,1.62,7.015,50.435
2856,2015287 C1 7.5,2015287,C1,7.5,15,Zinal,0.224008854,NA,NA,0.375732935,468.872972,0.43788072,234.182788,0.091800421,49.09574146,NA,4.2,10.64,-2.24,12.88,42.8
2857,2015287 C1 90,2015287,C1,90,30,Zinal,0.32015,29,27.85305,5.333124187,28556.89039,6.215245036,14262.99362,0.813393809,1866.608739,0.067016314,7.09,11.795,2.39,9.405,52.09
2858,2015287 C10 120,2015287,C10,120,30,Zinal,0.32015,57,54.74565,2.369805806,21013.21681,2.76178151,10495.23856,0.361436431,1373.519792,0.025089113,-2.47,2.83,-7.77,10.6,41.06
2859,2015287 C10 30,2015287,C10,30,30,Zinal,0.228202083,12,8.215275,0.354627386,2648.729146,0.413284226,1322.931397,0.168088689,538.055388,0.065494507,2.06,8.6,-4.48,13.08,41.96
2860,2015287 C10 60,2015287,C10,60,30,Zinal,0.235275,47,33.173775,1.61282359,18876.99033,1.879591298,9428.281194,0.724574466,3634.562374,0.109561314,-1.78,4.12,-7.68,11.8,43.29
2861,2015287 C10 7.5,2015287,C10,7.5,15,Zinal,0.195919271,NA,NA,0.379231246,624.7623298,0.441957666,312.0431182,0.111276751,78.56667535,NA,5.82,12.8,-1.16,13.96,44.83
2862,2015287 C10 90,2015287,C10,90,30,Zinal,0.244975,44,32.3367,1.693497645,19254.71849,1.973609176,9616.940892,0.703385932,3427.436907,0.105992167,-0.18,5.12,-5.48,10.6,44.25
2863,2015287 C11 120,2015287,C11,120,30,Zinal,0.317725,38,36.22065,24.36695309,23571.44626,28.39734814,11772.96908,3.922973091,1626.385699,0.044902168,-12.58,-16.05,-9.1,-6.95,38.34
2864,2015287 C11 30,2015287,C11,30,30,Zinal,0.27165,3,2.44485,0.924898009,2713.778147,1.077879974,1355.420701,0.297894502,374.5986421,0.153219479,-15.12,-13.74,-16.5,2.76,27.82
2865,2015287 C11 60,2015287,C11,60,30,Zinal,0.317725,26,24.78255,11.08929563,17534.50388,12.9235111,8757.764362,1.785328194,1209.847967,0.048818542,-9.59,-11.24,-7.93,-3.31,39.04
2866,2015287 C11 7.5,2015287,C11,7.5,15,Zinal,0.196475,17,5.0101125,0.242660859,549.1888086,0.282797971,274.2972489,0.070967551,68.83431239,0.013739075,5.47,12.54,-1.6,14.14,44.16
2867,2015287 C11 90,2015287,C11,90,30,Zinal,0.322575,61,59.031225,20.06902896,24370.04115,23.38852955,12171.83442,2.890722961,1504.387062,0.025484598,-16.15,-19.91,-12.39,-7.52,33.08
2868,2015287 C12 120,2015287,C12,120,30,Monte Calme 268,0.32015,128,122.9376,26.46419304,31013.97391,30.84148028,15490.2059,4.0362478,2027.214937,0.016489788,-12.32,-14.33,-10.3,-4.03,37.3
2869,2015287 C12 30,2015287,C12,30,30,Monte Calme 268,0.220725,NA,NA,9.017764027,15309.75224,10.50933958,7646.592312,4.510038466,3281.502629,NA,-9.34,-10.47,-8.22,-2.26,40.2
2870,2015287 C12 60,2015287,C12,60,30,Monte Calme 268,0.228303125,3,2.054728125,14.51414269,25368.86401,16.91484206,12670.70541,6.874384299,5149.518867,2.506180163,-3.44,-4.4,-2.48,-1.92,48.45
2871,2015287 C12 7.5,2015287,C12,7.5,15,Monte Calme 268,0.19405,NA,NA,0.398539797,624.0667592,0.464459932,311.6957092,0.118244707,79.35316976,NA,5.75,11.89,-0.38,12.27,44.46
2872,2015287 C12 90,2015287,C12,90,30,Monte Calme 268,0.293475,18,15.84765,22.69566398,31076.16297,26.44962089,15521.26678,5.578112759,3273.369272,0.206552345,-7.64,-10.88,-4.41,-6.47,43.27
2873,2015287 C2 120,2015287,C2,120,30,Probus,0.293475,85,74.836125,8.010419074,29831.00638,9.335375596,14899.36221,1.968791082,3142.212239,0.041987907,-4.84,-2.95,-6.73,3.78,38.07
2874,2015287 C2 30,2015287,C2,30,30,Probus,0.206175,NA,NA,0.582611467,4549.911198,0.678977819,2272.493731,0.32101783,1074.425389,NA,-9.12,-4.54,-13.7,9.17,35.8
2875,2015287 C2 60,2015287,C2,60,30,Probus,0.288675521,20,17.32053125,5.063313296,21113.59915,5.900806305,10545.37542,1.32941739,2375.811836,0.137167377,2.08,5.69,-1.53,7.23,45.42
2876,2015287 C2 7.5,2015287,C2,7.5,15,Probus,0.235679167,NA,NA,0.278026102,288.5332817,0.324012772,144.1105211,0.062256341,27.68963005,NA,2.22,9.27,-4.83,14.11,41.13
2877,2015287 C2 90,2015287,C2,90,30,Probus,0.30075,35,31.57875,7.470575982,29041.46664,8.706240219,14505.01955,1.646095409,2742.474993,0.086845584,-1.91,0.15,-3.97,4.12,41.49
2878,2015287 C3 120,2015287,C3,120,30,CH Claro,0.293475,80,70.434,1.960237642,21091.16811,2.284469074,10534.17204,0.48178483,2221.612162,0.031541758,-2.45,0.26,-5.17,5.43,38.07
2879,2015287 C3 30,2015287,C3,30,30,CH Claro,0.2765,42,34.839,0.350758385,3387.592051,0.408775276,1691.963066,0.107025851,442.9910468,0.012715378,2.27,9.01,-4.47,13.47,40.19
2880,2015287 C3 60,2015287,C3,60,30,CH Claro,0.235275,28,19.7631,0.766298249,11918.59464,0.893047156,5952.848401,0.344265887,2294.797787,0.116115275,-1.73,2.81,-6.27,9.08,37.2
2881,2015287 C3 7.5,2015287,C3,7.5,15,CH Claro,0.235780208,NA,NA,0.276405487,650.0939668,0.3221241,324.6952302,0.061844627,62.33825831,NA,5.14,12.11,-1.82,13.93,43.22
2882,2015287 C3 90,2015287,C3,90,30,CH Claro,0.3056,71,65.0928,1.391506418,17805.55471,1.621667348,8893.143117,0.283014609,1552.038049,0.023843467,-0.87,2.43,-4.17,6.6,39.61
2883,2015287 C4 120,2015287,C4,120,30,Monte Calme 268,0.322575,56,54.1926,6.868013128,30737.15174,8.004010971,15351.9446,0.989261777,1897.435179,0.035012809,1.95,5.86,-1.95,7.81,47.29
2884,2015287 C4 30,2015287,C4,30,30,Monte Calme 268,0.25225,NA,NA,0.444583248,4059.871875,0.51811916,2027.73922,0.173347518,678.4222412,NA,1.17,6.68,-4.35,11.03,41.48
2885,2015287 C4 60,2015287,C4,60,30,Monte Calme 268,0.22315,33,22.09185,3.287946682,22314.17838,3.831786693,11145.01542,1.616518744,4701.756068,0.21282763,-4.17,0.25,-8.58,8.83,39.99
2886,2015287 C4 7.5,2015287,C4,7.5,15,Monte Calme 268,0.245025521,NA,NA,0.239130061,668.8239135,0.278683164,334.0500692,0.049639629,59.50169853,NA,4.39,11.79,-3,14.79,42.36
2887,2015287 C4 90,2015287,C4,90,30,Monte Calme 268,0.291252083,41,35.82400625,5.448385588,30061.74314,6.349571151,15014.60575,1.381441303,3266.645263,0.091185928,6.35,12.385,0.31,12.07,49.89
2888,2015287 C5 120,2015287,C5,120,30,Probus,0.312875,93,87.292125,2.488095133,32711.35093,2.899636382,16337.97599,0.442762166,2494.739574,0.028579205,-1.28,2.29,-4.84,7.13,42.52
2889,2015287 C5 30,2015287,C5,30,30,Probus,0.25225,1,0.75675,0.227724026,694.0000115,0.265390524,346.6244959,0.088791908,115.9704192,0.153247994,5.32,12.57,-1.93,14.5,43.12
2890,2015287 C5 60,2015287,C5,60,30,Probus,0.27165,14,11.4093,1.780856051,27335.0846,2.075417024,13652.75182,0.573584569,3773.221324,0.330714533,-1.24,2.5,-4.98,7.47,41.92
2891,2015287 C5 7.5,2015287,C5,7.5,15,Probus,0.19405,NA,NA,0.257200731,622.4460547,0.299742798,310.8862339,0.076310133,79.14708918,NA,4.92,11.77,-1.94,13.71,42.88
2892,2015287 C5 90,2015287,C5,90,30,Probus,0.308025,51,47.127825,1.911254901,29084.6652,2.227384385,14526.59545,0.372520582,2429.51142,0.051551529,-1.12,2.53,-4.77,7.3,42.22
2893,2015287 C6 120,2015287,C6,120,30,CH Claro,0.322575,32,30.9672,0.805464019,25263.67157,0.938691107,12618.16611,0.116018236,1559.551763,0.050361407,1.98,7.48,-3.53,11.01,42.23
2894,2015287 C6 30,2015287,C6,30,30,CH Claro,0.26195,2,1.5717,0.461310558,16976.71303,0.537613237,8479.170747,0.164225121,2590.138687,1.647985422,1.8,7.81,-4.22,12.04,41.4
2895,2015287 C6 60,2015287,C6,60,30,CH Claro,0.312875,6,5.63175,1.04458809,29750.63164,1.21736729,14859.21833,0.185886817,2268.939558,0.402883572,1.24,7,-4.53,11.54,40.94
2896,2015287 C6 7.5,2015287,C6,7.5,15,CH Claro,0.234315104,NA,NA,0.231744035,693.4358386,0.270075459,346.3427147,0.052445338,67.25550249,NA,4.45,11.66,-2.76,14.41,42.87
2897,2015287 C7 120,2015287,C7,120,30,Monte Calme 268,0.298325,22,19.68945,4.82837596,29783.68767,5.62700936,14875.72846,1.1048394,2920.786132,0.148342698,-8.55,-2.54,-14.55,12.02,39.2
2898,2015287 C7 30,2015287,C7,30,30,Monte Calme 268,0.240125,22,15.84825,0.309390171,2760.954661,0.360564588,1378.983432,0.133749903,511.5280498,0.032276627,-7.74,-1.35,-14.13,12.78,39.52
2899,2015287 C7 60,2015287,C7,60,30,Monte Calme 268,0.283775,NA,NA,3.897435387,26343.74566,4.542087357,13157.61874,1.090081683,3157.772641,NA,-8.69,-3.29,-14.09,10.8,38.78
2900,2015287 C7 7.5,2015287,C7,7.5,15,Monte Calme 268,0.223352083,NA,NA,0.217659133,606.4422449,0.253660856,302.8929884,0.053429157,63.79903237,NA,4.46,12.01,-3.09,15.1,42.54
2901,2015287 C7 90,2015287,C7,90,30,Monte Calme 268,0.288625,26,22.51275,4.324782285,27615.8903,5.040119203,13793.00273,1.136273478,3109.57391,0.138125014,-6.94,-1.86,-12.01,10.15,40.93
2902,2015287 C8 120,2015287,C8,120,30,CH Claro,0.315451563,43,40.69325156,1.048766356,14781.96267,1.222236659,7382.983103,0.177182842,1070.282025,0.026301217,-1.94,3.54,-7.42,10.96,40.34
2903,2015287 C8 30,2015287,C8,30,30,CH Claro,0.269225,44,35.5377,0.266288938,1324.624698,0.310334232,661.5956204,0.088024988,187.6587891,0.005280555,1.12,8.37,-6.13,14.5,41.74
2904,2015287 C8 60,2015287,C8,60,30,CH Claro,0.2728625,24,19.6461,0.633927665,11911.94102,0.738781929,5949.525191,0.2014904,1622.633369,0.082593154,0.62,6.91,-5.67,12.59,41.38
2905,2015287 C8 7.5,2015287,C8,7.5,15,CH Claro,0.191625,NA,NA,0.25082336,726.2480873,0.292310584,362.731085,0.07548128,93.66546447,NA,4.94,11.85,-1.97,13.81,43.28
2906,2015287 C8 90,2015287,C8,90,30,CH Claro,0.31045,30,27.9405,0.785130143,13697.91799,0.914993923,6841.547319,0.146372268,1094.447488,0.039170648,0.16,6.07,-5.76,11.83,41.71
2907,2015287 C9 120,2015287,C9,120,30,Probus,0.317725,59,56.237325,22.14499604,27419.19557,25.80787019,13694.76179,3.565247705,1891.873204,0.033640882,-13.48,-19.56,-7.4,-12.17,34.73
2908,2015287 C9 30,2015287,C9,30,30,Probus,0.216329688,NA,NA,1.243656835,3901.332355,1.449362831,1948.555243,0.641099114,861.9077379,NA,-7.14,-4.92,-9.36,4.45,36.58
2909,2015287 C9 60,2015287,C9,60,30,Probus,0.240125,42,30.25575,10.02496254,20905.6146,11.6831329,10441.49568,4.333808552,3873.228495,0.128016278,-5.69,-5.89,-5.48,-0.42,43.06
2910,2015287 C9 7.5,2015287,C9,7.5,15,Probus,0.192685938,NA,NA,0.226645496,540.9617318,0.264133601,270.1881621,0.067784994,69.3387855,NA,5.85,12.71,-1.01,13.72,44.4
2911,2015287 C9 90,2015287,C9,90,30,Probus,0.226888542,35,23.82329688,17.64418196,26912.55405,20.5626028,13441.71517,8.44413832,5519.909285,0.231702158,-7.94,-9.68,-6.19,-3.5,43.43
2912,2015288 C1 120,2015288,C1,120,30,Zinal,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2913,2015288 C1 30,2015288,C1,30,30,Zinal,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2914,2015288 C1 60,2015288,C1,60,30,Zinal,0.27165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2915,2015288 C1 7.5,2015288,C1,7.5,15,Zinal,0.22315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2916,2015288 C1 90,2015288,C1,90,30,Zinal,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2917,2015288 C10 120,2015288,C10,120,30,Zinal,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2918,2015288 C10 30,2015288,C10,30,30,Zinal,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2919,2015288 C10 60,2015288,C10,60,30,Zinal,0.235275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2920,2015288 C10 7.5,2015288,C10,7.5,15,Zinal,0.194302604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2921,2015288 C10 90,2015288,C10,90,30,Zinal,0.244975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2922,2015288 C11 120,2015288,C11,120,30,Zinal,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2923,2015288 C11 30,2015288,C11,30,30,Zinal,0.270336458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2924,2015288 C11 60,2015288,C11,60,30,Zinal,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2925,2015288 C11 7.5,2015288,C11,7.5,15,Zinal,0.196475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2926,2015288 C11 90,2015288,C11,90,30,Zinal,0.322575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2927,2015288 C12 120,2015288,C12,120,30,Monte Calme 268,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2928,2015288 C12 30,2015288,C12,30,30,Monte Calme 268,0.220725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2929,2015288 C12 60,2015288,C12,60,30,Monte Calme 268,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2930,2015288 C12 7.5,2015288,C12,7.5,15,Monte Calme 268,0.193746875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2931,2015288 C12 90,2015288,C12,90,30,Monte Calme 268,0.293475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2932,2015288 C2 120,2015288,C2,120,30,Probus,0.293475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2933,2015288 C2 30,2015288,C2,30,30,Probus,0.206175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2934,2015288 C2 60,2015288,C2,60,30,Probus,0.288625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2935,2015288 C2 7.5,2015288,C2,7.5,15,Probus,0.233001563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2936,2015288 C2 90,2015288,C2,90,30,Probus,0.300042708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2937,2015288 C3 120,2015288,C3,120,30,CH Claro,0.293475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2938,2015288 C3 30,2015288,C3,30,30,CH Claro,0.2765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2939,2015288 C3 60,2015288,C3,60,30,CH Claro,0.235275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2940,2015288 C3 7.5,2015288,C3,7.5,15,CH Claro,0.235275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2941,2015288 C3 90,2015288,C3,90,30,CH Claro,0.305498958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2942,2015288 C4 120,2015288,C4,120,30,Monte Calme 268,0.322575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2943,2015288 C4 30,2015288,C4,30,30,Monte Calme 268,0.25225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2944,2015288 C4 60,2015288,C4,60,30,Monte Calme 268,0.22315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2945,2015288 C4 7.5,2015288,C4,7.5,15,Monte Calme 268,0.242600521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2946,2015288 C4 90,2015288,C4,90,30,Monte Calme 268,0.29105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2947,2015288 C5 120,2015288,C5,120,30,Probus,0.315249479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2948,2015288 C5 30,2015288,C5,30,30,Probus,0.25225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2949,2015288 C5 60,2015288,C5,60,30,Probus,0.270134375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2950,2015288 C5 7.5,2015288,C5,7.5,15,Probus,0.19405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2951,2015288 C5 90,2015288,C5,90,30,Probus,0.308025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2952,2015288 C6 120,2015288,C6,120,30,CH Claro,0.322575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2953,2015288 C6 30,2015288,C6,30,30,CH Claro,0.26195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2954,2015288 C6 60,2015288,C6,60,30,CH Claro,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2955,2015288 C6 7.5,2015288,C6,7.5,15,CH Claro,0.23285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2956,2015288 C7 120,2015288,C7,120,30,Monte Calme 268,0.296607292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2957,2015288 C7 30,2015288,C7,30,30,Monte Calme 268,0.240125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2958,2015288 C7 60,2015288,C7,60,30,Monte Calme 268,0.281400521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2959,2015288 C7 7.5,2015288,C7,7.5,15,Monte Calme 268,0.22315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2960,2015288 C7 90,2015288,C7,90,30,Monte Calme 268,0.288625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2961,2015288 C8 120,2015288,C8,120,30,CH Claro,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2962,2015288 C8 30,2015288,C8,30,30,CH Claro,0.269225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2963,2015288 C8 60,2015288,C8,60,30,CH Claro,0.27165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2964,2015288 C8 7.5,2015288,C8,7.5,15,CH Claro,0.191625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2965,2015288 C8 90,2015288,C8,90,30,CH Claro,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2966,2015288 C9 120,2015288,C9,120,30,Probus,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2967,2015288 C9 30,2015288,C9,30,30,Probus,0.215875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2968,2015288 C9 60,2015288,C9,60,30,Probus,0.240125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2969,2015288 C9 7.5,2015288,C9,7.5,15,Probus,0.192180729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2970,2015288 C9 90,2015288,C9,90,30,Probus,0.225575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2971,2015289 C1 120,2015289,C1,120,30,Zinal,0.311561458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2972,2015289 C1 30,2015289,C1,30,30,Zinal,0.318735417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2973,2015289 C1 60,2015289,C1,60,30,Zinal,0.276146354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2974,2015289 C1 7.5,2015289,C1,7.5,15,Zinal,0.225019271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2975,2015289 C1 90,2015289,C1,90,30,Zinal,0.321665625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2976,2015289 C10 120,2015289,C10,120,30,Zinal,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2977,2015289 C10 30,2015289,C10,30,30,Zinal,0.230323958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2978,2015289 C10 60,2015289,C10,60,30,Zinal,0.235275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2979,2015289 C10 7.5,2015289,C10,7.5,15,Zinal,0.196475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2980,2015289 C10 90,2015289,C10,90,30,Zinal,0.244975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2981,2015289 C11 120,2015289,C11,120,30,Zinal,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2982,2015289 C11 30,2015289,C11,30,30,Zinal,0.271548958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2983,2015289 C11 60,2015289,C11,60,30,Zinal,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2984,2015289 C11 7.5,2015289,C11,7.5,15,Zinal,0.197131771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2985,2015289 C11 90,2015289,C11,90,30,Zinal,0.322575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2986,2015289 C12 120,2015289,C12,120,30,Monte Calme 268,0.321210938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2987,2015289 C12 30,2015289,C12,30,30,Monte Calme 268,0.221230208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2988,2015289 C12 60,2015289,C12,60,30,Monte Calme 268,0.229919792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2989,2015289 C12 7.5,2015289,C12,7.5,15,Monte Calme 268,0.195616146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2990,2015289 C12 90,2015289,C12,90,30,Monte Calme 268,0.29529375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2991,2015289 C2 120,2015289,C2,120,30,Probus,0.294940104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2992,2015289 C2 30,2015289,C2,30,30,Probus,0.206629688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2993,2015289 C2 60,2015289,C2,60,30,Probus,0.291201563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2994,2015289 C2 7.5,2015289,C2,7.5,15,Probus,0.241842708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2995,2015289 C2 90,2015289,C2,90,30,Probus,0.303478125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2996,2015289 C3 120,2015289,C3,120,30,CH Claro,0.293475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2997,2015289 C3 30,2015289,C3,30,30,CH Claro,0.278571354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2998,2015289 C3 60,2015289,C3,60,30,CH Claro,0.235325521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2999,2015289 C3 7.5,2015289,C3,7.5,15,CH Claro,0.242853125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3000,2015289 C3 90,2015289,C3,90,30,CH Claro,0.3056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,2015289 C4 120,2015289,C4,120,30,Monte Calme 268,0.322575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,2015289 C4 30,2015289,C4,30,30,Monte Calme 268,0.253159375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3003,2015289 C4 60,2015289,C4,60,30,Monte Calme 268,0.22315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
