,day_column_depth,date_R,column,depth,increment,variety,moisture,concNO3N,NO3N_ha,N2O,CO2,mgN2ONm3,mgCO2Cm3,gN2ONha,gCO2Cha,CN,d15Nbulk,d15Nalpha,d15Nbeta,SP,d18O
41,2015239 C6 120,2015239,C6,120,30,CH Claro,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2015239 C6 30,2015239,C6,30,30,CH Claro,0.2959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2015239 C6 60,2015239,C6,60,30,CH Claro,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2015239 C6 7.5,2015239,C6,7.5,15,CH Claro,0.281970349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2015239 C6 90,2015239,C6,90,30,CH Claro,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2015239 C7 120,2015239,C7,120,30,Monte Calme 268,0.288625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2015239 C7 30,2015239,C7,30,30,Monte Calme 268,0.22315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2015239 C7 60,2015239,C7,60,30,Monte Calme 268,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2015239 C7 7.5,2015239,C7,7.5,15,Monte Calme 268,0.30232907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2015239 C7 90,2015239,C7,90,30,Monte Calme 268,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,2015239 C8 120,2015239,C8,120,30,CH Claro,0.273003488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2015239 C8 30,2015239,C8,30,30,CH Claro,0.303175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2015239 C8 60,2015239,C8,60,30,CH Claro,0.27165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2015239 C8 7.5,2015239,C8,7.5,15,CH Claro,0.260314535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2015239 C8 90,2015239,C8,90,30,CH Claro,0.304077326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2015239 C9 120,2015239,C9,120,30,Probus,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2015239 C9 30,2015239,C9,30,30,Probus,0.220668605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2015239 C9 60,2015239,C9,60,30,Probus,0.274075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2015239 C9 7.5,2015239,C9,7.5,15,Probus,0.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2015239 C9 90,2015239,C9,90,30,Probus,0.283775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2015240 C1 120,2015240,C1,120,30,Zinal,0.309035417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2015240 C1 30,2015240,C1,30,30,Zinal,0.314744271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2015240 C1 60,2015240,C1,60,30,Zinal,0.280491146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2015240 C1 7.5,2015240,C1,7.5,15,Zinal,0.270134375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2015240 C1 90,2015240,C1,90,30,Zinal,0.3213625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2015240 C10 120,2015240,C10,120,30,Zinal,0.304185417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2015240 C10 30,2015240,C10,30,30,Zinal,0.3092375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2015240 C10 60,2015240,C10,60,30,Zinal,0.272407813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2015240 C10 7.5,2015240,C10,7.5,15,Zinal,0.284532813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2015240 C10 90,2015240,C10,90,30,Zinal,0.315148438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
