"variable","column","depth","bandwidth","cost"
"SP",1,120,5,2.73274515732258
"d18O",1,120,5,3.115051828957
"N2O",2,120,5,1.67988797988406
"SP",2,120,5,3.89440063959339
"d18O",2,120,5,3.63837301803536
"N2O",3,120,5,1.98354560369808
"SP",3,120,5,7.01535404739792
"d18O",3,120,5,4.8484068352528
"N2O",4,120,5,1.7682488195107
"SP",4,120,5,4.27067415818888
"d18O",4,120,5,5.5989845965067
"N2O",5,120,5,0.341037012823965
"SP",5,120,5,8.24398359858266
"d18O",5,120,5,2.18850284333833
"N2O",6,120,5,0.306899190056055
"SP",6,120,5,11.4753878424487
"d18O",6,120,5,3.55242096685849
"N2O",7,120,5,1.52287027655575
"SP",7,120,5,4.56095338495079
"d18O",7,120,5,3.03188576851453
"N2O",8,120,5,1.75175449902608
"SP",8,120,5,12.4929470831964
"d18O",8,120,5,2.8329928689339
"N2O",9,120,5,2.76568118614225
"SP",9,120,5,7.19763196614112
"d18O",9,120,5,8.67937933608485
"N2O",10,120,5,1.2168309431538
"SP",10,120,5,7.83584119967939
"d18O",10,120,5,5.17844352135064
"N2O",11,120,5,3.59456778601158
"SP",11,120,5,3.86797840939187
"d18O",11,120,5,7.35381241601612
"N2O",12,120,5,3.12600932307081
"SP",12,120,5,3.11586073678561
"d18O",12,120,5,8.62601003242437
"N2O",1,7.5,10.5737126344056,0.707367706203476
"SP",1,7.5,10.5737126344056,10.0500058917739
"d18O",1,7.5,10.5737126344056,4.34638663985298
"N2O",2,7.5,10.5737126344056,0.0552497370648144
"SP",2,7.5,10.5737126344056,7.94637021590097
"d18O",2,7.5,10.5737126344056,2.1501204224064
"N2O",3,7.5,10.5737126344056,0.233803125031061
"SP",3,7.5,10.5737126344056,6.63159892375697
"d18O",3,7.5,10.5737126344056,1.35128092025989
"N2O",4,7.5,10.5737126344056,0.445670135557832
"SP",4,7.5,10.5737126344056,6.75037918451375
"d18O",4,7.5,10.5737126344056,3.35059590242483
"N2O",5,7.5,10.5737126344056,0.180441557298824
"SP",5,7.5,10.5737126344056,9.82756081235279
"d18O",5,7.5,10.5737126344056,2.21957518015931
"N2O",6,7.5,10.5737126344056,0.771580928508331
"SP",6,7.5,10.5737126344056,10.3282741037445
"d18O",6,7.5,10.5737126344056,4.15025866232879
